,stars-mean,stars-mean,stars-max,stars-max,stars-min,stars-min,stars-std,stars-std,stars-count,stars-count
chain-,Heavy,Light,Heavy,Light,Heavy,Light,Heavy,Light,Heavy,Light
entry__mabid-,,,,,,,,,,
K37/89,4.971042390460153,4.748159672331522,4.988862370723946,4.8578947368421055,4.935483870967742,4.515861790260659,0.018915383395692206,0.12605909433776213,6.0,6.0
K39/25,4.823854996804067,4.859524789035188,4.9915882235129185,4.937831690674754,3.147422132705267,4.5209505941213255,0.5280587447945924,0.11702791950028026,12.0,12.0
K39/25R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
K39/6,3.8287611518881874,2.5094555190713423,3.834669257755513,3.572600749783593,3.8228530460208616,0.6441825222097428,0.00835532344550776,1.6206372338736084,2.0,3.0
K4/209,3.1547780748828154,3.143609269161252,3.1547780748828154,3.143609269161252,3.1547780748828154,3.143609269161252,,,1.0,1.0
K40/17,,4.553141170710415,,4.592034607824553,,4.516073757180675,,0.03459826349449493,,4.0
K42/21,1.2323301934753963,1.5265376352050746,1.2520499131951162,1.8146489309402585,1.2126104737556767,1.295181951498692,0.027887895073823766,0.25063516329628577,2.0,4.0
K47/34,4.946405954005894,4.62563619747396,4.967567567567568,4.952922077922078,4.913294797687861,3.032437137518131,0.025261223652161807,0.7805390652426308,6.0,6.0
K47/40,,4.932018640572548,,4.955719557195572,,4.864739765480354,,0.03344611587069266,,6.0
K47/42,4.922110558139718,4.684956777240639,5.0,4.934579439252337,4.809936266519241,4.504291524614144,0.09249999797247936,0.18281655483996365,5.0,5.0
K47/43,4.1377388146431375,3.7498735411359805,4.986046511627907,3.977472317678503,0.30177571165169376,3.5350988798559855,1.8821210652475997,0.176913879331074,6.0,5.0
K47/9,4.975045348517278,4.6276863865428846,4.993127147766323,4.966542750929368,4.906979286221785,3.007180938259916,0.033663068775707364,0.7939610592812074,6.0,6.0
K48/16,,2.9413712131759766,,2.9413712131759766,,2.9413712131759766,,,,1.0
K48/18,,2.653084293685227,,2.653084293685227,,2.653084293685227,,,,1.0
K50/27,,3.386285945453507,,3.5608939738958387,,3.0664568192488,,0.2773696097274306,,3.0
K50/36,2.239832577920748,3.4847997702481655,2.239832577920748,4.0018098363074674,2.239832577920748,1.9844022394444347,,1.0003367349544288,1.0,4.0
K50/5,,3.982155058561117,,3.9948545198838863,,3.9740965134340174,,0.011130017308819554,,3.0
K51/1,4.541995553425867,4.209280048465182,4.5602561719666195,4.312747692125797,4.5027514941397335,4.151105807065068,0.02682361723153987,0.07098955900275036,4.0,4.0
K51/1R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
K52/1,,3.608110366746715,,4.1472718943077975,,2.906514083776722,,0.5866714897101241,,4.0
K53/33,3.993857781122723,3.9268352403829505,4.31136867118954,4.266529154673219,3.1305584217036246,2.9562240563785473,0.5759838993712157,0.64720313162054,4.0,4.0
K53/6,3.7405039063506975,4.156532413955517,3.805500660634528,4.2864347624823935,3.675507152066867,3.9611168434072495,0.09191929141842443,0.17226991557600418,2.0,3.0
K54/22,4.27307126757267,4.184953042932104,4.305190740524624,4.217361902695787,4.250114456772405,4.129775138185835,0.028658594544538632,0.048027933397084145,3.0,3.0
K55/29,4.268763375493236,3.747877034458322,4.611974584422127,3.9783808919330186,3.1105293350253236,3.617145166172088,0.6504471393062095,0.15003550957284978,5.0,5.0
K55/59,4.918858405817458,4.875125302432861,4.958052822371828,4.8964267219057485,4.851851851851852,4.833595079178118,0.03870538795535385,0.021972607967250594,6.0,6.0
K55/7,2.9207585341857563,3.732753666067876,3.234790415505678,4.26078799249531,2.669228812338929,3.314273243125273,0.24273085621520138,0.2958661692827367,4.0,21.0
K55/82,4.903590494559972,4.957241539368272,4.975773889636608,4.980923694779117,4.823238566131026,4.899558498896248,0.06477318029963973,0.033634683257779525,6.0,6.0
K55/9,4.08537208096637,3.952099045514099,4.9728765167737325,4.967365967365968,3.180613090306545,2.981367289898342,0.7272602349889082,0.7804774760079944,9.0,9.0
K56/27,,2.392893989888921,,2.392893989888921,,2.392893989888921,,,,1.0
K56A/50,4.091007521877747,4.082213176530379,4.2600072213220175,4.156114845804373,3.9805150189162775,4.041872596874202,0.14864821503001818,0.06409042761916262,3.0,3.0
K56A/57,4.280274429363689,4.145541783435143,4.318352503393427,4.148514050155812,4.208941194704654,4.141324378941984,0.061823441335853234,0.003753081280108484,3.0,3.0
K56A/95,3.5854706744928997,2.616337674625558,3.8177720387740903,3.5322457086610095,3.1237220186700387,0.4678403049120183,0.39988861236407397,1.4439800643674576,3.0,4.0
K57/1,4.582805263935936,4.4379494716613115,4.987120515179393,4.954341622503057,2.20213359882649,1.7788445287497832,1.0498094560402778,1.1751935371994573,7.0,7.0
K57/1R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
